rowNumber,predictedValues
0,No_Failure
1,No_Failure
2,No_Failure
3,No_Failure
4,No_Failure
5,No_Failure
6,No_Failure
7,No_Failure
8,No_Failure
9,No_Failure
10,No_Failure
11,No_Failure
12,No_Failure
13,No_Failure
14,No_Failure
15,No_Failure
16,No_Failure
17,No_Failure
18,No_Failure
19,No_Failure
20,No_Failure
21,No_Failure
22,No_Failure
23,No_Failure
24,No_Failure
25,No_Failure
26,No_Failure
27,No_Failure
28,No_Failure
29,No_Failure
30,No_Failure
31,No_Failure
32,No_Failure
33,No_Failure
34,No_Failure
35,No_Failure
36,No_Failure
37,PWF
38,No_Failure
39,No_Failure
40,No_Failure
41,No_Failure
42,No_Failure
43,No_Failure
44,No_Failure
45,No_Failure
46,No_Failure
47,No_Failure
48,No_Failure
49,No_Failure
50,PWF
51,No_Failure
52,No_Failure
53,No_Failure
54,No_Failure
55,No_Failure
56,No_Failure
57,No_Failure
58,No_Failure
59,No_Failure
60,No_Failure
61,No_Failure
62,No_Failure
63,No_Failure
64,No_Failure
65,No_Failure
66,No_Failure
67,No_Failure
68,No_Failure
69,No_Failure
70,PWF
71,No_Failure
72,No_Failure
73,No_Failure
74,No_Failure
75,No_Failure
76,No_Failure
77,No_Failure
78,No_Failure
79,No_Failure
80,No_Failure
81,No_Failure
82,No_Failure
83,No_Failure
84,No_Failure
85,No_Failure
86,No_Failure
87,No_Failure
88,No_Failure
89,No_Failure
90,No_Failure
91,No_Failure
92,No_Failure
93,No_Failure
94,No_Failure
95,No_Failure
96,No_Failure
97,No_Failure
98,No_Failure
99,No_Failure
100,OSF
101,No_Failure
102,No_Failure
103,No_Failure
104,No_Failure
105,No_Failure
106,No_Failure
107,No_Failure
108,No_Failure
109,No_Failure
110,No_Failure
111,No_Failure
112,No_Failure
113,No_Failure
114,No_Failure
115,No_Failure
116,No_Failure
117,No_Failure
118,No_Failure
119,No_Failure
120,No_Failure
121,No_Failure
122,No_Failure
123,No_Failure
124,No_Failure
125,No_Failure
126,No_Failure
127,No_Failure
128,No_Failure
129,No_Failure
130,No_Failure
131,No_Failure
132,No_Failure
133,No_Failure
134,No_Failure
135,No_Failure
136,No_Failure
137,No_Failure
138,No_Failure
139,No_Failure
140,No_Failure
141,No_Failure
142,No_Failure
143,No_Failure
144,No_Failure
145,No_Failure
146,No_Failure
147,No_Failure
148,No_Failure
149,No_Failure
150,No_Failure
151,No_Failure
152,No_Failure
